업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
온나커피(ONNA coffee),"서울특별시 강남구 논현로136길 14, 지상1층 (논현동)",논현동,,논현1동,,101.93,
카페 문,"서울특별시 강서구 강서로 295, 의)성삼의료재단미즈메디병원 본관2층 (내발산동)",내발산동,,발산제1동,,,
올모스트홈카페 을지로,"서울특별시 중구 창경궁로5길 8, 1층 (산림동)",산림동,,을지로동,,42.1,
올모스트홈카페 을지로,"서울특별시 중구 창경궁로5길 8, 1층 (산림동)",산림동,,을지로동,,42.1,
스터디카페위드,"서울특별시 성동구 왕십리로8길 4, 2층 (성수동1가)",성수동1가,,성수1가제1동,,,
에그마카슈 성수,"서울특별시 성동구 상원6나길 14, 1층 101호 (성수동1가)",성수동1가,,성수1가제1동,,,
카페인중독 노원점,"서울특별시 노원구 공릉로58길 126, 1층 좌측호(102호) (하계동)",하계동,,하계1동,,,
페이버(FAVOR),"서울특별시 성동구 연무장길 41-22, 1층 101호 (성수동2가)",성수동2가,,성수2가제1동,,,
날웃게해,"서울특별시 강남구 논현로119길 17-4, 지하1층 B101호 (논현동)",논현동,80.0,논현1동,0.0,80.0,0.0
커피니 신설점,"서울특별시 동대문구 왕산로 21, 민족통일대통령빌딩 1층 101-2호 (신설동)",신설동,,용신동,,21.63,
커피니 신설점,"서울특별시 동대문구 왕산로 21, 민족통일대통령빌딩 1층 101-2호 (신설동)",신설동,,용신동,,21.63,
빽다방 창동역점,"서울특별시 도봉구 마들로11길 57, EQ빌딩 102호 (창동)",창동,,창제4동,,,
유제니(Eugenie),"서울특별시 송파구 바람드리5길 13, 1층 103호 (풍납동)",풍납동,,풍납1동,29.2,,
테이크커피 우면점,"서울특별시 서초구 성촌1길 26, 삼성프라자 1 1층 101,102호 (우면동)",우면동,,양재제1동,,66.31,
커피스테이션(COFFEE STATION),"서울특별시 영등포구 경인로 775, 에이스하이테크시티 지하1층 181호 (문래동3가)",문래동3가,,문래동,,,
카페 별미당,"서울특별시 성동구 금호로 84, 1층 (금호동1가)",금호동1가,,금호1가동,,,
나비카페,"서울특별시 강서구 강서로 439, 벨리오 1층 103호 (마곡동)",마곡동,,가양제1동,,,
아모르파티,"서울특별시 강동구 천중로40길 55, (길동)",길동,,길동,,26.0,
팔공티군자역점,"서울특별시 광진구 능동로 288, 1층 (능동)",능동,,능동,,,
더 스테이션,"서울특별시 송파구 새말로15길 19, 본엘 (BoNL) 1,2층 (문정동, 본엘 (BoNL))",문정동,,문정2동,131.38,,
더 스테이션,"서울특별시 송파구 새말로15길 19, 본엘 (BoNL) 1,2층 (문정동, 본엘 (BoNL))",문정동,,문정2동,131.38,,
하우롱,"서울특별시 송파구 동남로18길 4, 1층 102호 (가락동)",가락동,27.63,가락본동,27.63,0.0,0.0
하우롱,"서울특별시 송파구 동남로18길 4, 1층 102호 (가락동)",가락동,,가락본동,37.95,,
리드커피스탠드(REED COFFEE STAND),"서울특별시 강남구 선릉로112길 21, 1층 (삼성동)",삼성동,,삼성1동,,,
(주)보나비 아티제 신라성우빌딩점,"서울특별시 중구 장충단로8길 28, 지층 (장충동1가)",장충동1가,,장충동,,25.8,
(주)보나비 아티제 신라성우빌딩점,"서울특별시 중구 장충단로8길 28, 지층 (장충동1가)",장충동1가,,장충동,,25.8,
써니랜드,"서울특별시 강남구 테헤란로51길 46-12, 1층 (역삼동)",역삼동,,역삼1동,,,
오슬로우커피에이스하이테크시티점,"서울특별시 영등포구 경인로 775, 에이스하이테크시티 1층 1-106호 (문래동3가)",문래동3가,,문래동,,,
해와롱카페,"서울특별시 양천구 오목로13길 3, 1층 (신월동)",신월동,,신월2동,,30.0,
커피쿡 수유점,"서울특별시 강북구 한천로 1046-1, 1층 (수유동)",수유동,,수유3동,,60.0,
커피쿡 수유점,"서울특별시 강북구 한천로 1046-1, 1층 (수유동)",수유동,,수유제3동,,60.0,
문득그가게,"서울특별시 노원구 동일로186길 46, 1층 (공릉동)",공릉동,,공릉1동,,,3.3
타입씨(type C),"서울특별시 광진구 동일로 26, 1~2층 (자양동)",자양동,,자양제1동,,,
씨포컬러스(c for colors),"서울특별시 광진구 동일로 26, 1~2층 (자양동)",자양동,,자양제1동,,,
매머드 익스프레스 문정역,"서울특별시 송파구 법원로 114, 엠스테이트 E동 지하1층 E-B169호 (문정동)",문정동,,문정1동,47.79,,
카페더스타,"서울특별시 동대문구 왕산로 274, 1층 (전농동)",전농동,,전농제1동,,34.86,
예맛당,"서울특별시 양천구 목동중앙북로8길 138, 1층 101호 (목동, 우월시티빌라)",목동,,목2동,,27.24,
팔공티 위례신도시점,"서울특별시 송파구 위례광장로 120, 상가동 1층 105호 (장지동, 위례중앙푸르지오1단지)",장지동,,문정2동,47.11,,
카페코지숙명여대점,"서울특별시 용산구 청파로47길 26, 1층 (청파동2가)",청파동2가,,청파동,,,
카페코지숙명여대점,"서울특별시 용산구 청파로47길 26, 1층 (청파동2가)",청파동2가,,청파동,,,
레스티오 도서관점,"서울특별시 광진구 능동로 120, 건국대학교 상허기념도서관 3층 (화양동)",화양동,,화양동,,,
레스티오 도서관점,"서울특별시 광진구 능동로 120, 건국대학교 상허기념도서관 3층 (화양동)",화양동,,화양동,,,
레스티오 도서관점,"서울특별시 광진구 능동로 120, 건국대학교 상허기념도서관 3층 (화양동)",화양동,,화양동,,,
브리즈(Breeze),"서울특별시 성동구 성수일로 44-1, 1층 (성수동2가)",성수동2가,16.68,성수2가제1동,0.0,0.0,0.0
카페드렌(cafe' de Reine),"서울특별시 강서구 강서로45길 49-10, 102호 (내발산동)",내발산동,16.5,발산제1동,0.0,0.0,0.0
셀렉토 서초방배점,"서울특별시 서초구 동광로 22, 1층 101호 (방배동)",방배동,,방배제3동,,30.77,
뭉치치카페 서초방배점,"서울특별시 서초구 동광로 22, 1층 101호 (방배동)",방배동,,방배제3동,,30.77,
셀렉토 서초방배점,"서울특별시 서초구 동광로 22, 1층 101호 (방배동)",방배동,,방배제3동,,30.77,
뭉치치카페 서초방배점,"서울특별시 서초구 동광로 22, 1층 101호 (방배동)",방배동,,방배제3동,,30.77,
카페 오아시스,"서울특별시 중구 다산로 240, 동원빌딩 농협 1층 107호 (신당동)",신당동,,신당동,,33.16,
꿀스커피 대치점,"서울특별시 강남구 선릉로62길 32-2, 대아빌딩 지상1층 (대치동)",대치동,,대치1동,,11.16,
아이(i)카페,"서울특별시 서대문구 신촌로37길 9, 1층 (북아현동)",북아현동,,북아현동,,,5.27
블랙오레츄러스카페,"서울특별시 송파구 올림픽로 240, 롯데월드 어드벤처  1층 (잠실동)",잠실동,,잠실본동,26.7,,
커피베이신길역점,"서울특별시 영등포구 영등포로 358, 대윤메디컬센터 1층 102호 (신길동)",신길동,,영등포본동,69.2,,
날웃게해,"서울특별시 강남구 논현로119길 17-4, 지상1층 101호 (논현동)",논현동,80.0,논현1동,0.0,80.0,0.0
1리터 커피공방,"서울특별시 강남구 테헤란로 322, 한신인터밸리24빌딩 지하2층 제비158호 (역삼동)",역삼동,,역삼1동,,,
컴포즈커피중곡점,"서울특별시 광진구 면목로 169, 1층 (중곡동)",중곡동,,중곡제3동,,,
카페딕셔너리,"서울특별시 광진구 능동로 209, 세종대학교 광개토관 지하1층 (군자동)",군자동,,군자동,,,
카페딕셔너리,"서울특별시 광진구 능동로 209, 세종대학교 광개토관 지하1층 (군자동)",군자동,,군자동,,,
에그에그,"서울특별시 광진구 능동로 25-1, 지하1,지상1층 (자양동)",자양동,,자양제4동,,,
포지티브,"서울특별시 용산구 회나무로13가길 45-14, 1층 (이태원동)",이태원동,,이태원제2동,,,2.47
빽다방 상왕십리역점,"서울특별시 성동구 왕십리로 363-1, 1층 (하왕십리동)",하왕십리동,,왕십리제2동,,,
5&커피(coffee),"서울특별시 중구 마른내로 157, 1층 (광희동1가)",광희동1가,,광희동,,8.0,
스타벅스 월계역점,"서울특별시 노원구 초안산로2라길 26, 월계센트럴아이파크 상가 1층 104,105,106호 (월계동)",월계동,,월계2동,,,
에그드랍보라매점,"서울특별시 동작구 보라매로5가길 7, 108호층 (신대방동, 캐릭터 그린빌)",신대방동,,신대방제2동,,41.31,
매머드 익스프레스 제일kcc점,"서울특별시 서초구 주흥길 3, 1층 104호 (반포동)",반포동,,반포제1동,,53.75,
메가엠지씨커피 광운대역점,"서울특별시 노원구 석계로 103, 동우빌딩 1층 일부  (월계동)",월계동,,월계1동,,,
더 쉼,"서울특별시 송파구 법원로9길 26, 에이치비지니스파크 C동 102호 (문정동)",문정동,,문정1동,40.65,,
토프레소 정릉점,"서울특별시 성북구 보국문로 83, 1층 (정릉동)",정릉동,,정릉제4동,,,
카페하임,"서울특별시 서초구 마방로6길 37, 1층 (양재동)",양재동,,양재제2동,,19.8,
하임카페,"서울특별시 서초구 마방로6길 37, 1층 (양재동)",양재동,,양재제2동,,19.8,
카페하임,"서울특별시 서초구 마방로6길 37, 1층 (양재동)",양재동,,양재제2동,,19.8,
하임카페,"서울특별시 서초구 마방로6길 37, 1층 (양재동)",양재동,,양재제2동,,19.8,
프레시가든(드립온37.2),"서울특별시 송파구 양재대로66길 32, 1층 103호 (가락동)",가락동,,가락1동,33.0,,
파머스빈 염창점,"서울특별시 강서구 공항대로 583, 1층 8호 (염창동, e편한세상)",염창동,,염창동,,,
파머스빈 염창점,"서울특별시 강서구 공항대로 583, 1층 8호 (염창동, e편한세상)",염창동,,염창동,,,
카페울림(cafe ul-lim),"서울특별시 양천구 월정로 43, 1층 (신월동)",신월동,,신월4동,,30.38,
지향디저트,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
펫스츄,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
지향디저트,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
펫스츄,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
공차 롯데미아점,"서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지하2층 (미아동)",미아동,,송중동,,,
PUELLA CAFE/푸엘라 카페,"서울특별시 서초구 강남대로93길 6, 1층 (잠원동)",잠원동,,잠원동,,76.0,
BAB(비앤비),"서울특별시 송파구 올림픽로30길 9, 엘루이시티 108호 (방이동)",방이동,22.81,방이1동,0.0,0.0,0.0
BAB(비앤비),"서울특별시 송파구 올림픽로30길 9, 엘루이시티 108호 (방이동)",방이동,,방이1동,32.71,,
파머스빈,"서울특별시 강남구 논현로87길 41, 지상1층 104-1호 (역삼동)",역삼동,,역삼1동,,33.93,
카페숲,"서울특별시 동대문구 이문로 136, 1층 1F-6호 (이문동, 이문동 웰츠타워)",이문동,,이문제2동,,15.0,
에스로우(S'LOW)성수,"서울특별시 성동구 성수이로 96, 1층 (성수동2가)",성수동2가,,성수2가제1동,,,
에스로우(S'LOW)성수,"서울특별시 성동구 성수이로 96, 1층 (성수동2가)",성수동2가,,성수2가제1동,,,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
윌라라커피 서초점,"서울특별시 서초구 효령로72길 57, 지하1층 D-B101호 (서초동, 서초트라팰리스)",서초동,,서초제2동,,43.57,
윌라라커피 서초점,"서울특별시 서초구 효령로72길 57, 지하1층 D-B101호 (서초동, 서초트라팰리스)",서초동,,서초제2동,,43.57,
달리는커피 강남논현점,"서울특별시 강남구 학동로20길 67, 지상1층 (논현동)",논현동,,논현1동,,35.0,
(주)한스케익 잠실새내점,"서울특별시 송파구 올림픽로 124, 환산빌딩 1층 (잠실동)",잠실동,,잠실본동,46.0,,
카페루앤비 마곡수명점,"서울특별시 강서구 수명로 31, 하버드아카데미 1층 103호 (내발산동)",내발산동,,발산제1동,,,
카페인중독 전농점,"서울특별시 동대문구 전농로 207, 1층 (전농동)",전농동,,전농제1동,,16.5,
카페나인,"서울특별시 강서구 수명로 78, 새롬프라자 9층 901호(일부),902호 (내발산동)",내발산동,,발산제1동,,,
카페나인,"서울특별시 강서구 수명로 78, 새롬프라자 9층 901호(일부),902호 (내발산동)",내발산동,,발산제1동,,,
BGM(비지엠),"서울특별시 서초구 청두곶3길 22, 1층 (방배동)",방배동,,방배제3동,,39.29,
디멘션,"서울특별시 강남구 헌릉로571길 13, 센트라빌 지상1층 102호 (세곡동)",세곡동,,세곡동,,29.82,
마을카페,"서울특별시 중랑구 겸재로61길 40, 망우3동 주민센터 1층 (망우동)",망우동,,망우제3동,,17.0,
매머드익스프레스 남부터미널점,"서울특별시 서초구 효령로53길 18, 석탑오피스텔 1층 114호 (서초동)",서초동,,서초제2동,,15.91,
상상나루래 카페,"서울특별시 강동구 올림픽로98가길 28, 1층 (암사동)",암사동,,암사제1동,,82.31,
상상나루래 카페,"서울특별시 강동구 올림픽로98가길 28, 1층 (암사동)",암사동,,암사제1동,,82.31,
빽다방선유도역점,"서울특별시 영등포구 양평로 120, 1층 (양평동4가)",양평동4가,,양평제2동,,,
업커피,"서울특별시 강동구 올림픽로91길 21, 104호 (천호동)",천호동,,천호제2동,,22.0,
이디야 공진초점,"서울특별시 강서구 마곡중앙1로 26, 마곡엠리체 101,102호 (마곡동)",마곡동,,발산제1동,,,
행복당 신당점,"서울특별시 중구 퇴계로 407, (흥인동)",흥인동,,신당동,,29.01,
"카페,달레트","서울특별시 영등포구 선유서로 76, 신동아아파트 1층 112호 (양평동1가)",양평동1가,,양평제1동,,,
"카페,달레트","서울특별시 영등포구 선유서로 76, 신동아아파트 1층 112호 (양평동1가)",양평동1가,,양평제1동,,,
메가엠지씨커피 목동사거리점,"서울특별시 강서구 곰달래로 272, 1층 102호 (화곡동)",화곡동,,화곡제4동,,,
메가엠지씨커피 목동사거리점,"서울특별시 강서구 곰달래로 272, 1층 102호 (화곡동)",화곡동,,화곡제4동,,,
요거트맨 강남구청점,"서울특별시 강남구 선릉로130길 56, 지상1층 4호 (삼성동)",삼성동,17.44,삼성1동,0.0,17.44,0.0
요거트맨 강남구청점,"서울특별시 강남구 선릉로130길 56, 지상1층 4호 (삼성동)",삼성동,,삼성1동,,27.44,
큰수커피,"서울특별시 송파구 양재대로 1239, 한국체육대학교 체육과학관 1층 (방이동)",방이동,,방이1동,35.81,,
별이빛나는,"서울특별시 관악구 양녕로1길 32, 1층 (봉천동)",봉천동,,은천동,,,
별이빛나는,"서울특별시 관악구 양녕로1길 32, 1층 (봉천동)",봉천동,,은천동,,,
모자이크(MOSAIC),"서울특별시 중구 다산로31길 64, 1층 (신당동)",신당동,,신당동,,13.2,
와이퍼구의점,"서울특별시 광진구 아차산로 450, 구의동 근린생활시설 1층 (구의동)",구의동,,구의제3동,,,
스타벅스 마곡역점,"서울특별시 강서구 공항대로 168, 1층 101~104호 (마곡동)",마곡동,,발산제1동,,,
아방스커피,"서울특별시 강남구 학동로101길 26, 청담 삼익상가 지상1층 112호 (청담동)",청담동,,청담동,,22.97,
