가게명,가게주소
역삼아레나빌딩,역삼동
논현역사거리,논현동
신사역성일빌딩,논현동
국기원사거리,역삼동
대치재경빌딩R,대치동
봉은사역,삼성동
압구정윤성빌딩,신사동
코엑스별마당,삼성동
삼성역섬유센터R,대치동
압구정R,신사동
수서역R,수서동
양재강남빌딩R,도곡동
선릉동신빌딩R,삼성동
봉은사로선정릉,삼성동
강남오거리,역삼동
스타필드코엑스몰R,삼성동
강남구청정문,청담동
도곡공원,역삼동
강남R,역삼동
대치은마사거리,대치동
청담영동대로,청담동
압구정,신사동
청담스타R,청담동
강남우성,역삼동
학동사거리,논현동
대치사거리,대치동
포스코사거리,삼성동
신사역,논현동
도곡역,대치동
서울세관사거리,논현동
청담사거리,청담동
한티역,대치동
역삼초교사거리,역삼동
코엑스몰,삼성동
가로수길,신사동
역삼대로,역삼동
역삼포스코,역삼동
강남대로,역삼동
청담,청담동
삼성도심공항,삼성동
학동역,논현동
대치,대치동
SSG마켓도곡R,도곡동
삼성,삼성동
선릉세화빌딩,대치동
압구정역,신사동
압구정로,신사동
구역삼사거리,역삼동
큰길타워,역삼동
강남구청역,논현동
대치역,대치동
포이,개포동
아크플레이스,역삼동
학여울역,대치동
선정릉역,삼성동
삼성현대힐,삼성동
GS타워,역삼동
압구정미소,신사동
선릉역,역삼동
코엑스사거리,삼성동
역삼럭키,역삼동
차병원사거리,논현동
청담공원,삼성동
신압구정,신사동
아크로힐스논현,역삼동
강남비젼타워,역삼동
역삼역,역삼동
압구정로데오역,청담동
르네상스사거리,역삼동
포스코,대치동
선릉로,역삼동
논현힐탑,논현동
도산가로수길,논현동
대치한티,대치동
수서역사거리,수서동
코엑스아셈타워,삼성동
센터필드R,역삼동
도산사거리,논현동
강남세곡,세곡동
대치삼성프라자,대치동
강남역신분당역사,역삼동
삼성역,대치동
테헤란로아남타워,역삼동
강남논현,논현동
삼성동,삼성동
역삼이마트,역삼동
미아뉴타운,미아동
강북구청사거리,수유동
미아사거리역,미아동
수유역,번동
미아역,미아동
파라스파라서울,우이동
발산역사거리,마곡동
마곡역,마곡동
우장산역,내발산동
마곡사이언스타워R,마곡동
방화DT,방화동
마곡나루역,마곡동
마곡GMG,마곡동
가양역,등촌동
화곡DT,화곡동
양천향교역,마곡동
화곡동,화곡동
등촌,등촌동
염창역,염창동
발산역,등촌동
까치산역,화곡동
화곡역8번출구,화곡동
가양역사거리,등촌동
내발산,내발산동
마곡웰튼,마곡동
김포공항DT,방화동
강서NC,등촌동
마곡나루공원,마곡동
강서구청사거리,화곡동
낙성대역,봉천동
관악서울대입구R,봉천동
신림DT,신림동
서울대역,봉천동
낙성대DT,봉천동
보라매대교,봉천동
신림사거리,신림동
신림,신림동
서울대입구역,봉천동
봉천역,봉천동
건국대,화양동
어린이대공원역,군자동
아차산역,구의동
올림픽대교북단,구의동
구의DT,구의동
군자역,군자동
광나루,광장동
건대스타시티,자양동
자양,자양동
건대입구,화양동
구의역,구의동
광장,광장동
건국클래식,자양동
건대후문,화양동
중곡역,중곡동
자양이마트,자양동
군자사거리,중곡동
금천구청역,시흥동
가산에스케이,가산동
독산사거리,독산동
금천시흥,시흥동
가산디지털단지역,가산동
금천독산,독산동
가산디지털,가산동
W-Mall,가산동
가산브이타워,가산동
가산그레이트,가산동
독산역,가산동
가산현대아울렛,가산동
월계트레이더스,월계동
상계초교사거리,상계동
공릉DT,공릉동
공릉역,공릉동
은행사거리,중계동
노원KT,주
광운대,월계동
중계역,상계동
노원역,상계동
월계이마트,월계동
태릉입구역DT,공릉동
창동이마트,창동
쌍문역,창동
쌍문도봉로,창동
방학역,방학동
남성역,사당동
상도역,상도1동
노량진역,노량진동
신대방삼거리역,상도동
중앙대,흑석동
숭실대입구역,상도동
숭실대,상도동
사당역,사당동
서강대프라자,신수동
상암YTN,상암동
마포용강동,용강동
홍대입구역사거리R,서교동
마포경찰서후문,아현동
공덕,공덕동
홍대공항철도역,동교동
마포염리,염리동
서강광흥창역,창전동
합정,합정동
서강대흥역,대흥동
서교동사거리,서교동
상암사보이시티,상암동
신촌오거리,노고산동
상수역,상수동
공덕오거리,도화동
서강대,신수동
상암MBC,상암동
홍대역,동교동
동교,동교동
애오개역,아현동
상암DMC,상암동
마포일진빌딩,도화동
마포아크로,도화동
홍대삼거리,상수동
망원역,서교동
마포이마트,신공덕동
아현역대로,아현동
디지털미디어시티역,상암동
홍대역8번출구,동교동
망원한강공원,망원동
남가좌사거리,"남가좌동, DMC에코자이104동"
신촌역,창천동
연희동,연희동
홍제역,홍제동
연세백양로,신촌동
연희DT,연희동
신촌,창천동
이대R,대현동
연세종합관,신촌동
이대ECC,대현동
연대,창천동
신촌아트레온,창천동
연대동문,대신동
신촌명물거리,창천동
북가좌DT,북가좌동
현대신촌,창천동
방배로,방배동
강남교보타워R,서초동
방배다이치빌딩,방배동
센트럴F1,반포동
서초역이화빌딩,서초동
서초구청,서초동
서초우성사거리,서초동
강남대로신사,잠원동
서울고속터미널,반포동
강남대로논현R,반포동
방배카페거리,방배동
서초법원,서초동
청계산입구역,신원동
사당로데오,방배동
파미에파크R,반포동
교대역,서초동
양재역,양재동
논현역,잠원동
이수역,방배동
내방역,방배동
서초파라곤,서초동
서울아트센터,서초동
센트럴시티,반포동
강남삼성타운,서초동
방배역,방배동
반포역,잠원동
남부터미널,서초동
뉴코아강남,잠원동
강남2,서초동
교대,서초동
하이브랜드,양재동
신논현역,반포동
영동2교,양재동
남부터미널2,서초동
서래마을입구,반포동
몬테소리,서초동
서초역,서초동
교대법원,서초동
강남GT타워,서초동
서초동,서초동
서울교대,서초동
강남에비뉴,서초동
반포자이,반포동
서이초교사거리,서초동
서울웨이브아트센터,잠원동
길음역,돈암동
미아이마트,길음동
종암DT,종암동
미아,하월곡동
종암,종암동
월곡역,하월곡동
현대미아,길음동
장위뉴타운,장위동
송파나루역DT,송파동
잠실시그마타워,신천동
문정법원로R,문정동
송파개롱역,가락동
문정역,문정동
송파방이DT,방이동
올림픽평화의문,방이동
송파아이파크,문정동
송파사거리,송파동
석촌서호,삼전동
문정로데오,가락동
올림픽훼미리,문정동
올림픽공원남문,방이동
방이역,오금동
석촌호수,송파동
잠실푸르지오월드,신천동
잠실새내역,잠실동
갤러리아팰리스,잠실동
아시아선수촌,잠실동
올림픽아파트,방이동
가락본동,가락동
석촌역,석촌동
가락시장역,가락동
가든파이브,문정동
송파NC,문정동
송파거여역,거여동
몽촌토성역,방이동
송파KT,신천동
송파마천사거리DT,마천동
목동파리공원,목동
등촌역,목동
목동행복한,목동
신정DT,신정동
목동역,신정동
목동오목로,목동
목동8단지,신정동
오목교역,목동
신월IC DT,신월동
목동7단지,목동
목동,목동
목동파라곤,목동
목동트라팰리스,목동
신월동DT,신월동
샛강역,여의도동
여의도IFC몰(L1)R,여의도동
여의도KBS R,여의도동
여의도화재보험,여의도동
국회대로,여의도동
여의도공원R,여의도동
국회의사당역,여의도동
여의도역R,여의도동
선유동이레빌딩,양평제1동
동여의도,여의도동
여의도ABL타워,여의도동
영등포신길,신길동
여의도한양증권,여의도동
여의도일신,여의도동
여의도,여의도동
여의도호성,여의도동
여의도의사당,여의도동
여의도IFC(1F),여의도동
여의도신한금융투자타워,여의도동
더현대서울(B2)R,여의도동
불광역,대조동
연신내역사거리,불광동
연신내,갈현동
은평구청입구,응암동
은평이마트,응암동
구산역,대조동
수색,수색동
진관DT,진관동
연합뉴스,수송동
혜화역,동숭동
경희궁로,당주동
강북삼성병원,평동
종로평창동,평창동
광화문우체국,서린동
정부서울청사R,적선동
종로구청,수송동
북촌로,계동
종로수송,청진동
안국,재동
삼청동,삼청동
광화문D타워,청진동
적선,적선동
인사,인사동
스페이스본,사직동
주얼리시티,인의동
동숭로아트,동숭동
종로관철,관철동
경복궁역,통의동
이마빌딩,수송동
마로니에공원,동숭동
대학로,연건동
종로관수,관수동
종로플레이스,인의동
강북삼성병원1층,평동
동숭길입구,혜화동
서대문역,평동
을지로국제빌딩,다동
신당역사거리,흥인동
회현역,회현동
을지로경기빌딩,삼각동
약수역,신당동
서소문로,서소문동
신당역,흥인동
순화동더샵,순화동
환구단,소공동
무교동,무교동
퍼시픽타워,서소문동
황학캐슬,황학동
소공로,소공동
서소문배재,서소문동
KG타워,순화동
무교로,무교동
청계크리스탈스퀘어,수표동
명일역,명일동
강동구청DT,성내동
강동암사DT,암사동
둔촌동,성내동
천호로데오,천호동
천호이마트,천호동
길동역,길동
상일동,상일동
천호역,성내동
명일이마트,명일동
천호사거리,천호동
강일역,강일동
올림픽공원북2문,성내동
신도림,신도림동
구로디지털타워,구로동
오류동역,오류동
구로디지털로,구로동
구로에이스,구로동
구로하이엔드,구로동
현대디큐브2F,신도림동
구로호텔,구로동
현대디큐브B2,신도림동
구로고척,고척동
구로NC,구로동
답십리역,답십리동
경희대삼거리,회기동
외대정문,이문동
신설동역,신설동
회기역사거리,회기동
외대,이문동
장한평역,장안동
경희대,회기동
청량리역사,전농동
상왕십리역,하왕십리동
왕십리역,도선동
한양대,행당동
엔터식스,행당동
옥수,옥수동
서울역서부,서계동
이태원역,이태원동
한강진역R,한남동
이촌,이촌동
남영동,갈월동
한남동R,한남동
서울역동자동,동자동
순천향입구,한남동
동빙고,동빙고동
숙대입구역,갈월동
동부이촌동,이촌동
경리단길,이태원동
서울역사,동자동
포포인츠서울역,동자동
중랑역,상봉동
상봉역,상봉동
양원역,망우동
