기준연월,지역명,방문자 수
202101,종로구,6922572.0
202102,종로구,7768301.0
202103,종로구,9877429.0
202104,종로구,8876644.0
202105,종로구,9402370.0
202106,종로구,9417939.0
202107,종로구,8000753.0
202108,종로구,8235128.0
202109,종로구,9038025.0
202110,종로구,10039296.0
202111,종로구,10467256.0
202112,종로구,9127117.0
202101,송파구,7201791.0
202102,송파구,7576024.0
202103,송파구,9163546.0
202104,송파구,8266375.0
202105,송파구,8717241.0
202106,송파구,8610105.0
202107,송파구,7864178.0
202108,송파구,7895179.0
202109,송파구,8386889.0
202110,송파구,9292246.0
202111,송파구,9321446.0
202112,송파구,8919279.0
202101,강남구,13731681.0
202102,강남구,14170701.0
202103,강남구,17567621.0
202104,강남구,15493162.0
202105,강남구,16317460.0
202106,강남구,16674815.0
202107,강남구,14645596.0
202108,강남구,14934418.0
202109,강남구,15220178.0
202110,강남구,17248259.0
202111,강남구,18250778.0
202112,강남구,16941864.0
202101,서초구,9787895.0
202102,서초구,10208327.0
202103,서초구,12574683.0
202104,서초구,11409645.0
202105,서초구,12012304.0
202106,서초구,12019436.0
202107,서초구,10834212.0
202108,서초구,10850757.0
202109,서초구,11275146.0
202110,서초구,12280400.0
202111,서초구,12809363.0
202112,서초구,11732448.0
202101,관악구,3736625.0
202102,관악구,3854738.0
202103,관악구,4790839.0
202104,관악구,4182866.0
202105,관악구,4419936.0
202106,관악구,4190401.0
202107,관악구,3971746.0
202108,관악구,3953659.0
202109,관악구,4252212.0
202110,관악구,4495724.0
202111,관악구,4515508.0
202112,관악구,4347584.0
202101,동작구,3434476.0
202102,동작구,3748771.0
202103,동작구,4438615.0
202104,동작구,3947852.0
202105,동작구,4166583.0
202106,동작구,4063690.0
202107,동작구,3784221.0
202108,동작구,3637377.0
202109,동작구,4059469.0
202110,동작구,4170544.0
202111,동작구,4171090.0
202112,동작구,4012549.0
202101,영등포구,6296402.0
202102,영등포구,7026344.0
202103,영등포구,8924136.0
202104,영등포구,8068026.0
202105,영등포구,8491888.0
202106,영등포구,8508276.0
202107,영등포구,7181895.0
202108,영등포구,7416892.0
202109,영등포구,7822078.0
202110,영등포구,8471248.0
202111,영등포구,8494332.0
202112,영등포구,7937512.0
202101,금천구,2012218.0
202102,금천구,2003827.0
202103,금천구,2435602.0
202104,금천구,2141368.0
202105,금천구,2274440.0
202106,금천구,2317192.0
202107,금천구,2120488.0
202108,금천구,2126281.0
202109,금천구,2279050.0
202110,금천구,2392194.0
202111,금천구,2361224.0
202112,금천구,2199633.0
202101,구로구,3852247.0
202102,구로구,4097721.0
202103,구로구,4968018.0
202104,구로구,4443753.0
202105,구로구,4779384.0
202106,구로구,4728033.0
202107,구로구,4341642.0
202108,구로구,4164363.0
202109,구로구,4440237.0
202110,구로구,4798222.0
202111,구로구,4796439.0
202112,구로구,4528526.0
202101,강서구,4700068.0
202102,강서구,5368690.0
202103,강서구,6360239.0
202104,강서구,5747754.0
202105,강서구,6184645.0
202106,강서구,5825780.0
202107,강서구,5591883.0
202108,강서구,5513394.0
202109,강서구,5765391.0
202110,강서구,6250521.0
202111,강서구,6161246.0
202112,강서구,5880438.0
202101,양천구,2790759.0
202102,양천구,2992406.0
202103,양천구,3469718.0
202104,양천구,3088819.0
202105,양천구,3320044.0
202106,양천구,3162661.0
202107,양천구,3063676.0
202108,양천구,3022778.0
202109,양천구,3173564.0
202110,양천구,3192716.0
202111,양천구,3161765.0
202112,양천구,3161792.0
202101,마포구,6227996.0
202102,마포구,6935088.0
202103,마포구,8473084.0
202104,마포구,7755647.0
202105,마포구,8439453.0
202106,마포구,8698628.0
202107,마포구,7386777.0
202108,마포구,7590951.0
202109,마포구,8072402.0
202110,마포구,8795942.0
202111,마포구,9015981.0
202112,마포구,8336112.0
202101,서대문구,4803261.0
202102,서대문구,5068488.0
202103,서대문구,6250325.0
202104,서대문구,5303275.0
202105,서대문구,5722527.0
202106,서대문구,5866892.0
202107,서대문구,5178209.0
202108,서대문구,5383499.0
202109,서대문구,5546503.0
202110,서대문구,5882169.0
202111,서대문구,6277670.0
202112,서대문구,5893642.0
202101,은평구,2449546.0
202102,은평구,2612814.0
202103,은평구,2998256.0
202104,은평구,2683053.0
202105,은평구,2990305.0
202106,은평구,2800530.0
202107,은평구,2725363.0
202108,은평구,2631546.0
202109,은평구,3007106.0
202110,은평구,2949025.0
202111,은평구,2949475.0
202112,은평구,2886553.0
202101,노원구,3709555.0
202102,노원구,3993496.0
202103,노원구,4782115.0
202104,노원구,4155930.0
202105,노원구,4479947.0
202106,노원구,4234630.0
202107,노원구,4035321.0
202108,노원구,4018690.0
202109,노원구,4657061.0
202110,노원구,4498085.0
202111,노원구,4417730.0
202112,노원구,4253192.0
202101,도봉구,1996309.0
202102,도봉구,2168686.0
202103,도봉구,2471403.0
202104,도봉구,2248692.0
202105,도봉구,2471612.0
202106,도봉구,2278619.0
202107,도봉구,2192228.0
202108,도봉구,2150012.0
202109,도봉구,2541844.0
202110,도봉구,2399088.0
202111,도봉구,2364850.0
202112,도봉구,2189257.0
202101,강북구,1991307.0
202102,강북구,2162600.0
202103,강북구,2523927.0
202104,강북구,2229956.0
202105,강북구,2458319.0
202106,강북구,2341249.0
202107,강북구,2232291.0
202108,강북구,2208112.0
202109,강북구,2486964.0
202110,강북구,2445273.0
202111,강북구,2444077.0
202112,강북구,2309823.0
202101,성북구,3198978.0
202102,성북구,3389129.0
202103,성북구,4214846.0
202104,성북구,3492744.0
202105,성북구,3785447.0
202106,성북구,3599673.0
202107,성북구,3343238.0
202108,성북구,3359098.0
202109,성북구,3840801.0
202110,성북구,3758199.0
202111,성북구,3829581.0
202112,성북구,3627008.0
202101,중랑구,2383514.0
202102,중랑구,2515074.0
202103,중랑구,2887077.0
202104,중랑구,2677183.0
202105,중랑구,2950283.0
202106,중랑구,2817391.0
202107,중랑구,2620773.0
202108,중랑구,2560524.0
202109,중랑구,2892158.0
202110,중랑구,2830587.0
202111,중랑구,2846946.0
202112,중랑구,2708829.0
202101,동대문구,3403098.0
202102,동대문구,3588551.0
202103,동대문구,4505318.0
202104,동대문구,3806098.0
202105,동대문구,4054632.0
202106,동대문구,3934671.0
202107,동대문구,3760036.0
202108,동대문구,3695097.0
202109,동대문구,4054689.0
202110,동대문구,4061656.0
202111,동대문구,4176002.0
202112,동대문구,3881276.0
202101,광진구,4018733.0
202102,광진구,4327976.0
202103,광진구,5285233.0
202104,광진구,4980007.0
202105,광진구,5294062.0
202106,광진구,5086148.0
202107,광진구,4588692.0
202108,광진구,4558349.0
202109,광진구,5168511.0
202110,광진구,5290755.0
202111,광진구,5297733.0
202112,광진구,4943057.0
202101,성동구,3476192.0
202102,성동구,3786096.0
202103,성동구,4648222.0
202104,성동구,4341108.0
202105,성동구,4475079.0
202106,성동구,4620633.0
202107,성동구,4039712.0
202108,성동구,4019106.0
202109,성동구,4359716.0
202110,성동구,4583445.0
202111,성동구,4638411.0
202112,성동구,4366808.0
202101,용산구,5045764.0
202102,용산구,5676661.0
202103,용산구,6893813.0
202104,용산구,6526651.0
202105,용산구,7102222.0
202106,용산구,7109580.0
202107,용산구,6231770.0
202108,용산구,6396312.0
202109,용산구,6754316.0
202110,용산구,7551804.0
202111,용산구,7758319.0
202112,용산구,7001280.0
202101,중구,7135542.0
202102,중구,7673527.0
202103,중구,9709870.0
202104,중구,8965732.0
202105,중구,9200312.0
202106,중구,9859100.0
202107,중구,8180589.0
202108,중구,8269736.0
202109,중구,9011670.0
202110,중구,10010557.0
202111,중구,10548295.0
202112,중구,10394759.0
202101,강동구,3429103.0
202102,강동구,3651494.0
202103,강동구,4462307.0
202104,강동구,3926163.0
202105,강동구,4160905.0
202106,강동구,3960481.0
202107,강동구,3769433.0
202108,강동구,3723756.0
202109,강동구,4132003.0
202110,강동구,4173418.0
202111,강동구,4090062.0
202112,강동구,3981561.0
