업태,업소명,소재지도로명주소,소재지전화,데이터기준일자
여관업,거래처모텔,강원도 춘천시 서부대성로44번길 6 (요선동), 033-252-2666,2021-09-09
관광호텔,춘천세종호텔,강원도 춘천시 봉의산길 31 (봉의동), 033-252-1191,2021-09-09
여관업,춘양장모텔,강원도 춘천시 당간지주길 94 (소양로1가), 033-254-3563,2021-09-09
여인숙업,대성여인숙,강원도 춘천시 가연길5번길 24 (소양로4가), 033-256-6553,2021-09-09
여관업,동성여관,강원도 춘천시 중앙로166번길 4 (근화동), 033-254-2944,2021-09-09
여인숙업,삼화여인숙,강원도 춘천시 중앙로124번길 12 (소양로4가), 033-254-4724,2021-09-09
여인숙업,그린여인숙,강원도 춘천시 가연길5번길 12 (소양로4가),033-242-7655,2021-09-09
여관업,짝모텔,강원도 춘천시 춘천로186번길 4 (효자동), 033-244-8665,2021-09-09
여관업,별장모텔,강원도 춘천시 중앙로 186-8 (근화동), 033-254-2754,2021-09-09
여인숙업,"호텔정관루별관(투투별장,아뜰리에,문학인촌)",강원도 춘천시 남산면 남이섬길 1, 031-582-2197,2021-09-09
여인숙업,강화여인숙,강원도 춘천시 가연길5번길 28-1 (소양로4가),033-251-7923,2021-09-09
여인숙업,강릉여인숙,강원도 춘천시 가연길5번길 2-2 (소양로4가), 033-254-4539,2021-09-09
여관업,k모텔,강원도 춘천시 시청길12번길 18 (조양동),033-253-6034,2021-09-09
여관업,조인모텔,강원도 춘천시 중앙로166번길 5 (근화동),033-242-0783,2021-09-09
여관업,공주여관,강원도 춘천시 공지로 473-1 (근화동), 033-254-2414,2021-09-09
여관업,삼진장여관,강원도 춘천시 공지로 472-1 (근화동), 033-254-8485,2021-09-09
여인숙업,명화여인숙,강원도 춘천시 중앙로124번길 3 (소양로4가), 033-254-5394,2021-09-09
여관업,리츠호텔,강원도 춘천시 공지로451번길 1 (근화동), 033-241-0798,2021-09-09
여관업,해피장여관,강원도 춘천시 공지로 471-1 (근화동), 033-254-6850,2021-09-09
여관업,작은별장,강원도 춘천시 공지로 472 (근화동), 033-257-7177,2021-09-09
여관업,한성장여관,강원도 춘천시 동부시장길 5-2 (운교동), 033-255-3800,2021-09-09
여관업,해원장여관,강원도 춘천시 공지로461번길 13-2 (근화동),033-243-8686,2021-09-09
여관업,송림장여관,강원도 춘천시 중앙로 162 (근화동), 033-254-6138,2021-09-09
일반호텔,춘천센트럴호텔,강원도 춘천시 중앙로68번길 12 (낙원동),033-257-1900,2021-09-09
일반호텔,호텔정관루본관,강원도 춘천시 남산면 남이섬길 1, 031-580-8000,2021-09-09
여관업,대지여관,강원도 춘천시 공지로 473-2 (근화동), 033-254-5487,2021-09-09
여인숙업,소나무집여인숙,강원도 춘천시 북산면 추곡약수길 89-2,,2021-09-09
여인숙업,홍호여인숙,강원도 춘천시 가연길5번길 22 (소양로4가),,2021-09-09
관광호텔,에스파스 호스텔,강원도 춘천시 닥나무길 12 (효자동), 033-256-2230,2021-09-09
여관업,황토모텔,강원도 춘천시 서부대성로44번길 3 (요선동),033-241-8599,2021-09-09
여관업,이오스모텔,강원도 춘천시 춘천로186번길 9 (효자동), 033-241-5590,2021-09-09
여관업,금수장여관,강원도 춘천시 남춘로 32 (퇴계동), 033-264-8433,2021-09-09
여관업,호텔라임,강원도 춘천시 중앙로68번길 22-4 (소양로3가),033-257-2860,2021-09-09
여관업,메이하우스,강원도 춘천시 남산면 남이섬길 1, 031-582-2181,2021-09-09
여관업,천호장여관,강원도 춘천시 약사고개길 15-1 (죽림동), 033-253-2722,2021-09-09
여인숙업,호텔정관루별관(게스트하우스),강원도 춘천시 남산면 남이섬길 1, 031-582-2197,2021-09-09
여관업,청화장,강원도 춘천시 중앙로 194 (근화동), 033-253-1185,2021-09-09
여관업,V(브이)모텔,강원도 춘천시 서부대성로47번길 3 (요선동), 033-244-5312,2021-09-09
여관업,춘천일기스테이,강원도 춘천시 중앙로27번길 9-1 (옥천동),,2021-09-09
여관업,고향장여관,강원도 춘천시 운천길 28-15 (운교동), 033-252-0607,2021-09-09
여관업,호반모텔,강원도 춘천시 춘천로68번길 9-1 (효자동), 033-256-7531,2021-09-09
여관업,호텔121,강원도 춘천시 금강로121번길 16 (효자동), 033-254-1151,2021-09-09
여관업,계림산장,강원도 춘천시 스포츠타운길 340 (삼천동), 033-254-7392,2021-09-09
여관업,세이블모텔,강원도 춘천시 소양로120번길 11 (소양로2가), 033-255-4494,2021-09-09
여관업,영은모텔,강원도 춘천시 중앙로 186-10 (근화동),033-254-4015,2021-09-09
여인숙업,강촌하우스,강원도 춘천시 서면 경춘로 1160,,2021-09-09
여관업,모텔발렌타인,강원도 춘천시 춘천로170번길 16 (효자동), 033-251-3970,2021-09-09
여관업,경성여관,강원도 춘천시 춘천로186번길 12-1 (효자동), 033-251-6083,2021-09-09
여관업,라임모텔,강원도 춘천시 춘천로170번길 14 (효자동), 033-254-3131,2021-09-09
여관업,메이모텔,강원도 춘천시 공지로451번길 12-1 (근화동),,2021-09-09
여관업,리젠트모텔,강원도 춘천시 공지로461번길 14 (근화동),033-251-2274,2021-09-09
여관업,엔젤모텔,강원도 춘천시 가연길 3 (소양로4가), 033-256-2926,2021-09-09
관광호텔,춘천베어스관광호텔,강원도 춘천시 스포츠타운길 376 (삼천동), 033-256-2525,2021-09-09
여관업,후평모텔,강원도 춘천시 보안길 101 (후평동), 033-253-7539,2021-09-09
여관업,큐모텔,강원도 춘천시 춘천로186번길 10 (효자동), 033-256-4334,2021-09-09
여관업,한성모텔,강원도 춘천시 공지로347번길 8 (효자동),033-242-3077,2021-09-09
여관업,GM모텔,강원도 춘천시 보안길 109 (후평동),033-256-4202,2021-09-09
여관업,태양파크,강원도 춘천시 공지로451번길 14 (근화동), 033-242-5347,2021-09-09
여관업,메트로모텔,강원도 춘천시 춘천로186번길 12 (효자동), 033-241-9700,2021-09-09
여관업,썸 모텔,강원도 춘천시 춘천로176번길 9 (효자동),033-254-4241,2021-09-09
여관업,용궁장여관,강원도 춘천시 공지로 471 (근화동), 033-254-3216,2021-09-09
여관업,소양필모텔,강원도 춘천시 신북읍 신샘밭로 679, 033-241-2290,2021-09-09
여관업,태화장여관,강원도 춘천시 소양로 173-3 (소양로2가), 033-242-3508,2021-09-09
여관업,조이모텔,강원도 춘천시 공지로 473 (근화동), 033-255-9075,2021-09-09
여관업,이튼호텔,강원도 춘천시 서부대성로48번길 9-1 (요선동), 033-254-4458,2021-09-09
여관업,한솔파크,강원도 춘천시 방송길36번길 73-5 (근화동), 033-241-7812,2021-09-09
여관업,다우스모텔,강원도 춘천시 남산면 강촌로 182, 033-261-6634,2021-09-09
여관업,엘지장여관,강원도 춘천시 가연길5번길 11 (소양로4가), 033-252-7700,2021-09-09
여관업,장수장여관,강원도 춘천시 효석로9번길 11-3 (효자동), 033-264-8061,2021-09-09
여관업,위도파크장여관,강원도 춘천시 영서로 3072 (사농동), 033-251-9132,2021-09-09
여관업,호반모텔,강원도 춘천시 서면 박사로 823, 033-244-6151,2021-09-09
여관업,춘천게스트하우스 파티앤스테이,강원도 춘천시 아침길 16-1 (조양동),,2021-09-09
여관업,파라다이스모텔,강원도 춘천시 보안길 87 (후평동), 033-257-2580,2021-09-09
여관업,유림모텔,강원도 춘천시 소양로219번길 5 (소양로1가), 033-252-5878,2021-09-09
여관업,봄봄모텔,강원도 춘천시 방송길36번길 56 (근화동), 033-242-0902,2021-09-09
여관업,황도파크여관,강원도 춘천시 방송길36번길 53-22 (근화동), 033-256-2534,2021-09-09
여관업,리버사이드코지호텔,강원도 춘천시 강창골길 14 (삼천동), 033-241-6671,2021-09-09
여관업,수모텔,강원도 춘천시 영서로 2515 (근화동), 033-254-1956,2021-09-09
여관업,더블유모텔,강원도 춘천시 영서로 2517 (근화동), 033-243-0227,2021-09-09
여관업,만보장여관,강원도 춘천시 방송길36번길 73-3 (근화동), 033-252-6034,2021-09-09
여관업,뜨라네모텔,강원도 춘천시 구마니길 36 (삼천동), 033-252-9455,2021-09-09
여관업,지퍼모텔,강원도 춘천시 보안길 91 (후평동), 033-257-6161,2021-09-09
여관업,레오모텔,강원도 춘천시 동면 춘천로 558, 033-257-5700,2021-09-09
여관업,아름다운세상리조텔,강원도 춘천시 사북면 화악지암길 782, 033-243-2243,2021-09-09
여관업,대원모텔,강원도 춘천시 남산면 강촌구곡길 206, 033-262-0255,2021-09-09
여관업,알프스모텔,강원도 춘천시 보안길 117 (후평동), 033-243-6661,2021-09-09
여관업,궁전모텔,강원도 춘천시 퇴계로93번길 17 (퇴계동), 033-261-9772,2021-09-09
여관업,미림파크여관,강원도 춘천시 옥산포길 39-3 (사농동), 033-256-6232,2021-09-09
여관업,골든텔모텔,강원도 춘천시 동면 가락재로 93, 033-241-5954,2021-09-09
여관업,오성모텔,강원도 춘천시 남춘로56번길 12 (효자동), 033-264-0037,2021-09-09
여관업,더 베이 630,강원도 춘천시 서면 박사로 630, 033-243-2929,2021-09-09
여관업,로즈파크,강원도 춘천시 신북읍 상천3길 13, 033-241-1422,2021-09-09
여관업,서울파크,강원도 춘천시 신북읍 상천3길 11, 033-244-5400,2021-09-09
여관업,모텔가향,강원도 춘천시 신북읍 신샘밭로 749, 033-242-2242,2021-09-09
여관업,유하트모텔,강원도 춘천시 구마니길 35 (삼천동), 033-252-1122,2021-09-09
여관업,3D 시네마모텔,강원도 춘천시 중앙로27번길 5-4 (옥천동), 033-241-0331,2021-09-09
여관업,시네마모텔,강원도 춘천시 동면 가산로 153, 033-241-1575,2021-09-09
여관업,산내들,강원도 춘천시 남산면 갯골길 45, 033-262-3538,2021-09-09
여관업,초원장여관,강원도 춘천시 효석로9번길 11-4 (효자동), 033-253-0083,2021-09-09
여관업,드림파크여관,강원도 춘천시 사북면 춘화로 736, 033-244-4499,2021-09-09
여관업,모텔래미안,강원도 춘천시 영서로 3068 (사농동), 033-241-5333,2021-09-09
여관업,삼일,강원도 춘천시 남산면 강촌로 246, 033-262-0333,2021-09-09
여관업,그랜드모텔,강원도 춘천시 중앙로27번길 11 (옥천동), 033-243-5021,2021-09-09
여관업,모텔샤인,강원도 춘천시 신북읍 신샘밭로 743, 033-242-4471,2021-09-09
여관업,이프모텔,강원도 춘천시 우묵길 51 (퇴계동), 033-242-2154,2021-09-09
여관업,대교장여관,강원도 춘천시 가연길5번길 45 (근화동),033-262-8433,2021-09-09
여관업,케이리버리조트,강원도 춘천시 남산면 방하로 637-8, 033-263-7444,2021-09-09
여관업,유진텔여관,강원도 춘천시 효석로9번길 5 (효자동), 033-264-4422,2021-09-09
여관업,빅힐모텔,"강원도 춘천시 퇴계로77번길 22-2 (퇴계동, 외 1필지)", 033-251-6366,2021-09-09
여관업,"헤이,춘천(Heyy,chuncheon)",강원도 춘천시 남춘로45번길 6 (효자동),,2021-09-09
여인숙업,춘천 게스트하우스 청춘봄봄,강원도 춘천시 남춘로 33-1 (퇴계동),,2021-09-09
여인숙업,대호여인숙,강원도 춘천시 중앙로 182 (근화동), 033-241-0183,2021-09-09
여관업,프린스장여관,강원도 춘천시 운교길6번길 7-1 (운교동), 033-244-3470,2021-09-09
여관업,수향모텔,강원도 춘천시 동면 춘천로 575, 033-257-5005,2021-09-09
여관업,플레인호텔(THE PLAIN),강원도 춘천시 스포츠타운길 234 (삼천동), 033-255-0339,2021-09-09
여관업,파인힐여관,강원도 춘천시 동면 소양강로 388, 033-241-7600,2021-09-09
여관업,호텔몽,강원도 춘천시 춘천로68번길 21 (효자동), 033-251-1161,2021-09-09
여관업,채록지모텔,강원도 춘천시 스포츠타운길 246 (삼천동), 033-256-6888,2021-09-09
여관업,카리브모텔,강원도 춘천시 우묵길 47 (퇴계동), 033-243-4720,2021-09-09
여관업,동원파크,강원도 춘천시 공지로451번길 7 (근화동), 033-251-0712,2021-09-09
여관업,민들레민박,강원도 춘천시 남산면 강촌로 78, 033-261-0129,2021-09-09
여관업,앨리스모텔,강원도 춘천시 남춘로25번길 5 (퇴계동), 033-256-8229,2021-09-09
여관업,이화여관,강원도 춘천시 공지로 475 (근화동),,2021-09-09
일반호텔,봄호텔,강원도 춘천시 남춘로36번길 4 (효자동), 033-264-1477,2021-09-09
여관업,모닝스카이,강원도 춘천시 효석로9번길 15 (효자동), 033-263-3755,2021-09-09
여관업,하이리조텔,강원도 춘천시 보안길 85 (후평동), 033-256-1258,2021-09-09
여관업,라벤다호텔,강원도 춘천시 남춘로5번길 10-2 (퇴계동), 033-255-0550,2021-09-09
여관업,아비숑모텔,강원도 춘천시 우묵길 67 (퇴계동), 033-255-8470,2021-09-09
여관업,파레스모텔,강원도 춘천시 우묵길 77 (퇴계동), 033-253-9997,2021-09-09
여관업,썬샤인모텔,강원도 춘천시 효석로9번길 17 (효자동), 033-262-4230,2021-09-09
여관업,썬스타모텔,강원도 춘천시 남춘로5번길 7-1 (퇴계동),033-252-9633,2021-09-09
여관업,파파야모텔,강원도 춘천시 남춘로5번길 7 (퇴계동), 033-255-0503,2021-09-09
여관업,호텔 스토리,강원도 춘천시 구마니길 24 (삼천동), 033-252-5534,2021-09-09
여관업,테마모텔,강원도 춘천시 방송길36번길 73-10 (근화동), 033-254-0356,2021-09-09
여관업,5IN(파이브인),강원도 춘천시 남춘로5번길 9-3 (퇴계동),033-254-5727,2021-09-09
여관업,노보텔,강원도 춘천시 금강로13번길 22 (소양로3가), 033-256-1950,2021-09-09
여관업,로즈힐모텔,강원도 춘천시 남춘로56번길 10 (효자동), 033-261-4800,2021-09-09
여관업,호텔야자춘천후평점,강원도 춘천시 보안길 107-1 (후평동), 033-254-0755,2021-09-09
여관업,레이크모텔,강원도 춘천시 화목원1길 5-11 (사농동), 033-253-6797,2021-09-09
여관업,베네모텔,강원도 춘천시 춘천로44번길 8 (퇴계동),033-255-5600,2021-09-09
여관업,클래식모텔,강원도 춘천시 중앙로27번길 9-5 (옥천동),033-244-4701,2021-09-09
여관업,모텔칸,강원도 춘천시 남춘로 28 (퇴계동), 033-262-5205,2021-09-09
여관업,조히텔,강원도 춘천시 후석로370번길 8 (후평동), 033-253-5832,2021-09-09
여관업,시드니모텔,강원도 춘천시 남춘로 51 (효자동), 033-241-2417,2021-09-09
여관업,어베인호텔,강원도 춘천시 우묵길 81 (퇴계동), 033-241-2389,2021-09-09
여관업,올리브모텔,강원도 춘천시 퇴계로77번길 10 (퇴계동), 033-251-3130,2021-09-09
여관업,호텔필,강원도 춘천시 남춘로 30-1 (퇴계동), 033-263-7096,2021-09-09
여관업,노블모텔,강원도 춘천시 금강로 129 (효자동), 033-255-5544,2021-09-09
여관업,호텔오즈,강원도 춘천시 금강로121번길 19 (효자동), 033-256-2563,2021-09-09
여관업,메이트호텔,강원도 춘천시 중앙로67번길 13 (조양동), 033-255-4116,2021-09-09
여관업,하몽모텔,강원도 춘천시 우묵길 59 (퇴계동), 033-256-2450,2021-09-09
여관업,월드호텔,강원도 춘천시 옥천길 11 (중앙로1가), 033-254-8001,2021-09-09
여관업,VIP모텔,강원도 춘천시 금강로13번길 21 (소양로3가), 033-251-7785,2021-09-09
여관업,모텔티파니,강원도 춘천시 금강로 133-1 (효자동), 033-242-0080,2021-09-09
여관업,비발디모텔,강원도 춘천시 스포츠타운길 296 (삼천동), 033-242-9240,2021-09-09
여관업,모텔에로스,강원도 춘천시 공지로451번길 10 (근화동), 033-252-5033,2021-09-09
여관업,맨하탄모텔,강원도 춘천시 퇴계로77번길 12 (퇴계동),033-241-0550,2021-09-09
여관업,발리모텔,강원도 춘천시 구마니길 20 (삼천동), 033-257-0711,2021-09-09
여관업,캣츠호텔,강원도 춘천시 공지로 355 (효자동), 033-257-7407,2021-09-09
여관업,제이드모텔,강원도 춘천시 동면 가산로 157-7, 033-241-2599,2021-09-09
여관업,세라모텔,강원도 춘천시 남춘로5번길 14-6 (퇴계동), 033-242-4570,2021-09-09
일반호텔,뷰호텔,강원도 춘천시 시청길 36 (조양동), 033-242-0023,2021-09-09
여관업,펜션강촌드림잉,강원도 춘천시 남산면 강촌로 100, 033-262-3307,2021-09-09
여관업,호조모텔,강원도 춘천시 우묵길 55 (퇴계동), 033-242-8308,2021-09-09
여관업,하이리조트,강원도 춘천시 남산면 방하로 528, 033-263-7227,2021-09-09
여관업,델비아모텔,강원도 춘천시 방송길36번길 53-5 (근화동), 033-253-7799,2021-09-09
여관업,드라마모텔,강원도 춘천시 서부대성로44번길 16 (요선동), 033-244-6497,2021-09-09
여관업,퍼펙트모텔,강원도 춘천시 남춘로56번길 6 (효자동), 033-261-3530,2021-09-09
여관업,호텔오띠모,강원도 춘천시 서부대성로43번길 4 (요선동), 033-242-0116,2021-09-09
여관업,아이관광호텔,강원도 춘천시 공지로347번길 6 (효자동), 033-257-0700,2021-09-09
여관업,모텔홀인원,강원도 춘천시 강창골길 35 (삼천동), 033-256-1566,2021-09-09
여관업,"헤이,춘천(Heyy,chuncheon)",강원도 춘천시 남춘로 49 (효자동), 033-243-5566,2021-09-09
여관업,리버사이드모텔,강원도 춘천시 신북읍 신샘밭로 745, 033-242-3002,2021-09-09
여관업,휴모텔,강원도 춘천시 남춘로5번길 10-4 (퇴계동),033-253-4177,2021-09-09
여관업,별님과달님1,강원도 춘천시 사북면 화악지암1길 124, 033-243-4220,2021-09-09
여관업,별님과달님,강원도 춘천시 사북면 화악지암1길 124, 033-243-4220,2021-09-09
여관업,펜텔굿타임,강원도 춘천시 남산면 강촌로 106, 033-261-4720,2021-09-09
여관업,하얀별모텔,강원도 춘천시 강창골길 37 (삼천동), 033-252-5789,2021-09-09
여관업,리버큐브(RIVER CUBE),강원도 춘천시 남산면 갯골길 10-13, 033-261-1797,2021-09-09
여관업,비너스모텔,강원도 춘천시 우두상리길 108 (우두동), 033-257-8028,2021-09-09
